"code","description"
"<U+0001F34D>","pineapple"
"<U+0001F34E>","red apple"
"<U+0001F34F>","green apple"
"<U+0001F350>","pear"
"<U+0001F351>","peach"
"<U+0001F352>","cherries"
"<U+0001F353>","strawberry"
"<U+0001F95D>","kiwi fruit"
"<U+0001F345>","tomato"
"<U+0001F965>","coconut"
"<U+0001F951>","avocado"
"<U+0001F346>","eggplant"
"<U+0001F954>","potato"
"<U+0001F955>","carrot"
"<U+0001F33D>","ear of corn"
"<U+0001F336>","hot pepper"
"<U+0001F952>","cucumber"
"<U+0001F966>","broccoli"
"<U+0001F344>","mushroom"
"<U+0001F95C>","peanuts"
"<U+0001F330>","chestnut"
"<U+0001F35E>","bread"
"<U+0001F950>","croissant"
"<U+0001F956>","baguette bread"
"<U+0001F968>","pretzel"
"<U+0001F95E>","pancakes"
"<U+0001F9C0>","cheese wedge"
"<U+0001F356>","meat on bone"
"<U+0001F357>","poultry leg"
"<U+0001F969>","cut of meat"
"<U+0001F953>","bacon"
"<U+0001F354>","hamburger"
"<U+0001F35F>","french fries"
"<U+0001F355>","pizza"
"<U+0001F32D>","hot dog"
"<U+0001F96A>","sandwich"
"<U+0001F32E>","taco"
"<U+0001F32F>","burrito"
"<U+0001F959>","stuffed flatbread"
"<U+0001F95A>","egg"
"<U+0001F373>","cooking"
"<U+0001F958>","shallow pan of food"
"<U+0001F372>","pot of food"
"<U+0001F963>","bowl with spoon"
"<U+0001F957>","green salad"
"<U+0001F37F>","popcorn"
"<U+0001F96B>","canned food"
"<U+0001F371>","bento box"
"<U+0001F358>","rice cracker"
"<U+0001F359>","rice ball"
"<U+0001F35A>","cooked rice"
"<U+0001F35B>","curry rice"
"<U+0001F35C>","steaming bowl"
"<U+0001F35D>","spaghetti"
"<U+0001F360>","roasted sweet potato"
"<U+0001F362>","oden"
"<U+0001F363>","sushi"
"<U+0001F364>","fried shrimp"
"<U+0001F365>","fish cake with swirl"
"<U+0001F361>","dango"
"<U+0001F95F>","dumpling"
"<U+0001F960>","fortune cookie"
"<U+0001F961>","takeout box"
"<U+0001F366>","soft ice cream"
"<U+0001F367>","shaved ice"
"<U+0001F368>","ice cream"
"<U+0001F369>","doughnut"
"<U+0001F36A>","cookie"
"<U+0001F382>","birthday cake"
"<U+0001F370>","shortcake"
"<U+0001F967>","pie"
"<U+0001F36B>","chocolate bar"
"<U+0001F36C>","candy"
"<U+0001F36D>","lollipop"
"<U+0001F36E>","custard"
"<U+0001F36F>","honey pot"
"<U+0001F37C>","baby bottle"
"<U+0001F95B>","glass of milk"
"<U+2615>","hot beverage"
"<U+0001F375>","teacup without handle"
"<U+0001F376>","sake"
"<U+0001F37E>","bottle with popping cork"
"<U+0001F377>","wine glass"
"<U+0001F378>","cocktail glass"
"<U+0001F379>","tropical drink"
"<U+0001F37A>","beer mug"
"<U+0001F37B>","clinking beer mugs"
"<U+0001F942>","clinking glasses"
"<U+0001F943>","tumbler glass"
"<U+0001F964>","cup with straw"
"<U+0001F962>","chopsticks"
"<U+0001F37D>","fork and knife with plate"
"<U+0001F374>","fork and knife"
"<U+0001F944>","spoon"
"<U+0001F52A>","kitchen knife"
"<U+0001F3FA>","amphora"
"<U+0001F30D>","globe showing Europe-Africa"
"<U+0001F30E>","globe showing Americas"
"<U+0001F30F>","globe showing Asia-Australia"
"<U+0001F310>","globe with meridians"
"<U+0001F5FA>","world map"
"<U+0001F5FE>","map of Japan"
"<U+0001F3D4>","snow-capped mountain"
"<U+26F0>","mountain"
"<U+0001F30B>","volcano"
"<U+0001F5FB>","mount fuji"
"<U+0001F3D5>","camping"
"<U+0001F3D6>","beach with umbrella"
"<U+0001F3DC>","desert"
"<U+0001F3DD>","desert island"
"<U+0001F3DE>","national park"
"<U+0001F3DF>","stadium"
"<U+0001F3DB>","classical building"
"<U+0001F3D7>","building construction"
"<U+0001F3D8>","houses"
"<U+0001F3D9>","cityscape"
"<U+0001F3DA>","derelict house"
"<U+0001F3E0>","house"
"<U+0001F3E1>","house with garden"
"<U+0001F3E2>","office building"
"<U+0001F3E3>","Japanese post office"
"<U+0001F3E4>","post office"
"<U+0001F3E5>","hospital"
"<U+0001F3E6>","bank"
"<U+0001F3E8>","hotel"
"<U+0001F3E9>","love hotel"
"<U+0001F3EA>","convenience store"
"<U+0001F3EB>","school"
"<U+0001F3EC>","department store"
"<U+0001F3ED>","factory"
"<U+0001F3EF>","Japanese castle"
"<U+0001F3F0>","castle"
"<U+0001F492>","wedding"
"<U+0001F5FC>","Tokyo tower"
"<U+0001F5FD>","Statue of Liberty"
"<U+26EA>","church"
"<U+0001F54C>","mosque"
"<U+0001F54D>","synagogue"
"<U+26E9>","shinto shrine"
"<U+0001F54B>","kaaba"
"<U+26F2>","fountain"
"<U+26FA>","tent"
"<U+0001F301>","foggy"
"<U+0001F303>","night with stars"
"<U+0001F304>","sunrise over mountains"
"<U+0001F305>","sunrise"
"<U+0001F306>","cityscape at dusk"
"<U+0001F307>","sunset"
"<U+0001F309>","bridge at night"
"<U+2668>","hot springs"
"<U+0001F30C>","milky way"
"<U+0001F3A0>","carousel horse"
"<U+0001F3A1>","ferris wheel"
"<U+0001F3A2>","roller coaster"
"<U+0001F488>","barber pole"
"<U+0001F3AA>","circus tent"
"<U+0001F3AD>","performing arts"
"<U+0001F5BC>","framed picture"
"<U+0001F3A8>","artist palette"
"<U+0001F3B0>","slot machine"
"<U+0001F682>","locomotive"
"<U+0001F683>","railway car"
"<U+0001F684>","high-speed train"
"<U+0001F685>","bullet train"
"<U+0001F686>","train"
"<U+0001F687>","metro"
"<U+0001F688>","light rail"
"<U+0001F689>","station"
"<U+0001F68A>","tram"
"<U+0001F69D>","monorail"
"<U+0001F69E>","mountain railway"
"<U+0001F68B>","tram car"
"<U+0001F68C>","bus"
"<U+0001F68D>","oncoming bus"
"<U+0001F68E>","trolleybus"
"<U+0001F690>","minibus"
"<U+0001F691>","ambulance"
"<U+0001F692>","fire engine"
"<U+0001F693>","police car"
"<U+0001F694>","oncoming police car"
"<U+0001F695>","taxi"
"<U+0001F696>","oncoming taxi"
"<U+0001F697>","automobile"
"<U+0001F698>","oncoming automobile"
"<U+0001F699>","sport utility vehicle"
"<U+0001F69A>","delivery truck"
"<U+0001F69B>","articulated lorry"
"<U+0001F69C>","tractor"
"<U+0001F6B2>","bicycle"
"<U+0001F6F4>","kick scooter"
"<U+0001F6F5>","motor scooter"
"<U+0001F68F>","bus stop"
"<U+0001F6E3>","motorway"
"<U+0001F6E4>","railway track"
"<U+26FD>","fuel pump"
"<U+0001F6A8>","police car light"
"<U+0001F6A5>","horizontal traffic light"
"<U+0001F6A6>","vertical traffic light"
"<U+0001F6A7>","construction"
"<U+0001F6D1>","stop sign"
"<U+2693>","anchor"
"<U+26F5>","sailboat"
"<U+0001F6F6>","canoe"
"<U+0001F6A4>","speedboat"
"<U+0001F6F3>","passenger ship"
"<U+26F4>","ferry"
"<U+0001F6E5>","motor boat"
"<U+0001F6A2>","ship"
"<U+2708>","airplane"
"<U+0001F6E9>","small airplane"
"<U+0001F6EB>","airplane departure"
"<U+0001F6EC>","airplane arrival"
"<U+0001F4BA>","seat"
"<U+0001F681>","helicopter"
"<U+0001F69F>","suspension railway"
"<U+0001F6A0>","mountain cableway"
"<U+0001F6A1>","aerial tramway"
"<U+0001F6F0>","satellite"
"<U+0001F680>","rocket"
"<U+0001F6F8>","flying saucer"
"<U+0001F6CE>","bellhop bell"
"<U+0001F6AA>","door"
"<U+0001F6CF>","bed"
"<U+0001F6CB>","couch and lamp"
"<U+0001F6BD>","toilet"
"<U+0001F6BF>","shower"
"<U+0001F6C1>","bathtub"
"<U+231B>","hourglass done"
"<U+23F3>","hourglass not done"
"<U+231A>","watch"
"<U+23F0>","alarm clock"
"<U+23F1>","stopwatch"
"<U+23F2>","timer clock"
"<U+0001F570>","mantelpiece clock"
"<U+0001F55B>","twelve ofclock"
"<U+0001F567>","twelve-thirty"
"<U+0001F550>","one ofclock"
"<U+0001F55C>","one-thirty"
"<U+0001F551>","two ofclock"
"<U+0001F55D>","two-thirty"
"<U+0001F552>","three ofclock"
"<U+0001F55E>","three-thirty"
"<U+0001F553>","four ofclock"
"<U+0001F55F>","four-thirty"
"<U+0001F554>","five ofclock"
"<U+0001F560>","five-thirty"
"<U+0001F555>","six ofclock"
"<U+0001F561>","six-thirty"
"<U+0001F556>","seven ofclock"
"<U+0001F562>","seven-thirty"
"<U+0001F557>","eight ofclock"
"<U+0001F563>","eight-thirty"
"<U+0001F558>","nine ofclock"
"<U+0001F564>","nine-thirty"
"<U+0001F559>","ten ofclock"
"<U+0001F565>","ten-thirty"
"<U+0001F55A>","eleven ofclock"
"<U+0001F566>","eleven-thirty"
"<U+0001F311>","new moon"
"<U+0001F312>","waxing crescent moon"
"<U+0001F313>","first quarter moon"
"<U+0001F314>","waxing gibbous moon"
"<U+0001F315>","full moon"
"<U+0001F316>","waning gibbous moon"
"<U+0001F317>","last quarter moon"
"<U+0001F318>","waning crescent moon"
"<U+0001F319>","crescent moon"
"<U+0001F31A>","new moon face"
"<U+0001F31B>","first quarter moon face"
"<U+0001F31C>","last quarter moon face"
"<U+0001F321>","thermometer"
"<U+2600>","sun"
"<U+0001F31D>","full moon face"
"<U+0001F31E>","sun with face"
"<U+2B50>","white medium star"
"<U+0001F31F>","glowing star"
"<U+0001F320>","shooting star"
"<U+2601>","cloud"
"<U+26C5>","sun behind cloud"
"<U+26C8>","cloud with lightning and rain"
"<U+0001F324>","sun behind small cloud"
"<U+0001F325>","sun behind large cloud"
"<U+0001F326>","sun behind rain cloud"
"<U+0001F327>","cloud with rain"
"<U+0001F328>","cloud with snow"
"<U+0001F329>","cloud with lightning"
"<U+0001F32A>","tornado"
"<U+0001F32B>","fog"
"<U+0001F32C>","wind face"
"<U+0001F300>","cyclone"
"<U+0001F308>","rainbow"
"<U+0001F302>","closed umbrella"
"<U+2602>","umbrella"
"<U+2614>","umbrella with rain drops"
"<U+26F1>","umbrella on ground"
"<U+26A1>","high voltage"
"<U+2744>","snowflake"
"<U+2603>","snowman"
"<U+26C4>","snowman without snow"
"<U+2604>","comet"
"<U+0001F525>","fire"
"<U+0001F4A7>","droplet"
"<U+0001F30A>","water wave"
"<U+0001F383>","jack-o-lantern"
"<U+0001F384>","Christmas tree"
"<U+0001F386>","fireworks"
"<U+0001F387>","sparkler"
"<U+2728>","sparkles"
"<U+0001F388>","balloon"
"<U+0001F389>","party popper"
"<U+0001F38A>","confetti ball"
"<U+0001F38B>","tanabata tree"
"<U+0001F38D>","pine decoration"
"<U+0001F38E>","Japanese dolls"
"<U+0001F38F>","carp streamer"
"<U+0001F390>","wind chime"
"<U+0001F391>","moon viewing ceremony"
"<U+0001F380>","ribbon"
"<U+0001F381>","wrapped gift"
"<U+0001F397>","reminder ribbon"
"<U+0001F39F>","admission tickets"
"<U+0001F3AB>","ticket"
"<U+0001F396>","military medal"
"<U+0001F3C6>","trophy"
"<U+0001F3C5>","sports medal"
"<U+0001F947>","1st place medal"
"<U+0001F948>","2nd place medal"
"<U+0001F949>","3rd place medal"
"<U+26BD>","soccer ball"
"<U+26BE>","baseball"
"<U+0001F3C0>","basketball"
"<U+0001F3D0>","volleyball"
"<U+0001F3C8>","american football"
"<U+0001F3C9>","rugby football"
"<U+0001F3BE>","tennis"
"<U+0001F3B1>","pool 8 ball"
"<U+0001F3B3>","bowling"
"<U+0001F3CF>","cricket game"
"<U+0001F3D1>","field hockey"
"<U+0001F3D2>","ice hockey"
"<U+0001F3D3>","ping pong"
"<U+0001F3F8>","badminton"
"<U+0001F94A>","boxing glove"
"<U+0001F94B>","martial arts uniform"
"<U+0001F945>","goal net"
"<U+0001F3AF>","direct hit"
"<U+26F3>","flag in hole"
"<U+26F8>","ice skate"
"<U+0001F3A3>","fishing pole"
"<U+0001F3BD>","running shirt"
"<U+0001F3BF>","skis"
"<U+0001F6F7>","sled"
"<U+0001F94C>","curling stone"
"<U+0001F3AE>","video game"
"<U+0001F579>","joystick"
"<U+0001F3B2>","game die"
"<U+2660>","spade suit"
"<U+2665>","heart suit"
"<U+2666>","diamond suit"
"<U+2663>","club suit"
"<U+0001F0CF>","joker"
"<U+0001F004>","mahjong red dragon"
"<U+0001F3B4>","flower playing cards"
"<U+0001F507>","muted speaker"
"<U+0001F508>","speaker low volume"
"<U+0001F509>","speaker medium volume"
"<U+0001F50A>","speaker high volume"
"<U+0001F4E2>","loudspeaker"
"<U+0001F4E3>","megaphone"
"<U+0001F4EF>","postal horn"
"<U+0001F514>","bell"
"<U+0001F515>","bell with slash"
"<U+0001F3BC>","musical score"
"<U+0001F3B5>","musical note"
"<U+0001F3B6>","musical notes"
"<U+0001F399>","studio microphone"
"<U+0001F39A>","level slider"
"<U+0001F39B>","control knobs"
"<U+0001F3A4>","microphone"
"<U+0001F3A7>","headphone"
"<U+0001F4FB>","radio"
"<U+0001F3B7>","saxophone"
"<U+0001F3B8>","guitar"
"<U+0001F3B9>","musical keyboard"
"<U+0001F3BA>","trumpet"
"<U+0001F3BB>","violin"
"<U+0001F941>","drum"
"<U+0001F4F1>","mobile phone"
"<U+0001F4F2>","mobile phone with arrow"
"<U+260E>","telephone"
"<U+0001F4DE>","telephone receiver"
"<U+0001F4DF>","pager"
"<U+0001F4E0>","fax machine"
"<U+0001F50B>","battery"
"<U+0001F50C>","electric plug"
"<U+0001F4BB>","laptop computer"
"<U+0001F5A5>","desktop computer"
"<U+0001F5A8>","printer"
"<U+2328>","keyboard"
"<U+0001F5B1>","computer mouse"
"<U+0001F5B2>","trackball"
"<U+0001F4BD>","computer disk"
"<U+0001F4BE>","floppy disk"
"<U+0001F4BF>","optical disk"
"<U+0001F4C0>","dvd"
"<U+0001F3A5>","movie camera"
"<U+0001F39E>","film frames"
"<U+0001F4FD>","film projector"
"<U+0001F3AC>","clapper board"
"<U+0001F4FA>","television"
"<U+0001F4F7>","camera"
"<U+0001F4F8>","camera with flash"
"<U+0001F4F9>","video camera"
"<U+0001F4FC>","videocassette"
"<U+0001F50D>","magnifying glass tilted left"
"<U+0001F50E>","magnifying glass tilted right"
"<U+0001F52C>","microscope"
"<U+0001F52D>","telescope"
"<U+0001F4E1>","satellite antenna"
"<U+0001F56F>","candle"
"<U+0001F4A1>","light bulb"
"<U+0001F526>","flashlight"
"<U+0001F3EE>","red paper lantern"
"<U+0001F4D4>","notebook with decorative cover"
"<U+0001F4D5>","closed book"
"<U+0001F4D6>","open book"
"<U+0001F4D7>","green book"
"<U+0001F4D8>","blue book"
"<U+0001F4D9>","orange book"
"<U+0001F4DA>","books"
"<U+0001F4D3>","notebook"
"<U+0001F4D2>","ledger"
"<U+0001F4C3>","page with curl"
"<U+0001F4DC>","scroll"
"<U+0001F4C4>","page facing up"
"<U+0001F4F0>","newspaper"
"<U+0001F5DE>","rolled-up newspaper"
"<U+0001F4D1>","bookmark tabs"
"<U+0001F516>","bookmark"
"<U+0001F3F7>","label"
"<U+0001F4B0>","money bag"
"<U+0001F4B4>","yen banknote"
"<U+0001F4B5>","dollar banknote"
"<U+0001F4B6>","euro banknote"
"<U+0001F4B7>","pound banknote"
"<U+0001F4B8>","money with wings"
"<U+0001F4B3>","credit card"
"<U+0001F4B9>","chart increasing with yen"
"<U+0001F4B1>","currency exchange"
"<U+0001F4B2>","heavy dollar sign"
"<U+2709>","envelope"
"<U+0001F4E7>","e-mail"
"<U+0001F4E8>","incoming envelope"
"<U+0001F4E9>","envelope with arrow"
"<U+0001F4E4>","outbox tray"
"<U+0001F4E5>","inbox tray"
"<U+0001F4E6>","package"
"<U+0001F4EB>","closed mailbox with raised flag"
"<U+0001F4EA>","closed mailbox with lowered flag"
"<U+0001F4EC>","open mailbox with raised flag"
"<U+0001F4ED>","open mailbox with lowered flag"
"<U+0001F4EE>","postbox"
"<U+0001F5F3>","ballot box with ballot"
"<U+270F>","pencil"
"<U+2712>","black nib"
"<U+0001F58B>","fountain pen"
"<U+0001F58A>","pen"
"<U+0001F58C>","paintbrush"
"<U+0001F58D>","crayon"
"<U+0001F4DD>","memo"
"<U+0001F4BC>","briefcase"
"<U+0001F4C1>","file folder"
"<U+0001F4C2>","open file folder"
"<U+0001F5C2>","card index dividers"
"<U+0001F4C5>","calendar"
"<U+0001F4C6>","tear-off calendar"
"<U+0001F5D2>","spiral notepad"
"<U+0001F5D3>","spiral calendar"
"<U+0001F4C7>","card index"
"<U+0001F4C8>","chart increasing"
"<U+0001F4C9>","chart decreasing"
"<U+0001F4CA>","bar chart"
"<U+0001F4CB>","clipboard"
"<U+0001F4CC>","pushpin"
"<U+0001F4CD>","round pushpin"
"<U+0001F4CE>","paperclip"
"<U+0001F587>","linked paperclips"
"<U+0001F4CF>","straight ruler"
"<U+0001F4D0>","triangular ruler"
"<U+2702>","scissors"
"<U+0001F5C3>","card file box"
"<U+0001F5C4>","file cabinet"
"<U+0001F5D1>","wastebasket"
"<U+0001F512>","locked"
"<U+0001F513>","unlocked"
"<U+0001F50F>","locked with pen"
"<U+0001F510>","locked with key"
"<U+0001F511>","key"
"<U+0001F5DD>","old key"
"<U+0001F528>","hammer"
"<U+26CF>","pick"
"<U+2692>","hammer and pick"
"<U+0001F6E0>","hammer and wrench"
"<U+0001F5E1>","dagger"
"<U+2694>","crossed swords"
"<U+0001F52B>","pistol"
"<U+0001F3F9>","bow and arrow"
"<U+0001F6E1>","shield"
"<U+0001F527>","wrench"
"<U+0001F529>","nut and bolt"
"<U+2699>","gear"
"<U+0001F5DC>","clamp"
"<U+2697>","alembic"
"<U+2696>","balance scale"
"<U+0001F517>","link"
"<U+26D3>","chains"
"<U+0001F489>","syringe"
"<U+0001F48A>","pill"
"<U+0001F6AC>","cigarette"
"<U+26B0>","coffin"
"<U+26B1>","funeral urn"
"<U+0001F5FF>","moai"
"<U+0001F6E2>","oil drum"
"<U+0001F52E>","crystal ball"
"<U+0001F6D2>","shopping cart"
"<U+0001F3E7>","ATM sign"
"<U+0001F6AE>","litter in bin sign"
"<U+0001F6B0>","potable water"
"<U+267F>","wheelchair symbol"
"<U+0001F6B9>","menfs room"
"<U+0001F6BA>","womenfs room"
"<U+0001F6BB>","restroom"
"<U+0001F6BC>","baby symbol"
"<U+0001F6BE>","water closet"
"<U+0001F6C2>","passport control"
"<U+0001F6C3>","customs"
"<U+0001F6C4>","baggage claim"
"<U+0001F6C5>","left luggage"
"<U+26A0>","warning"
"<U+0001F6B8>","children crossing"
"<U+26D4>","no entry"
"<U+0001F6AB>","prohibited"
"<U+0001F6B3>","no bicycles"
"<U+0001F6AD>","no smoking"
"<U+0001F6AF>","no littering"
"<U+0001F6B1>","non-potable water"
"<U+0001F6B7>","no pedestrians"
"<U+0001F4F5>","no mobile phones"
"<U+0001F51E>","no one under eighteen"
"<U+2622>","radioactive"
"<U+2623>","biohazard"
"<U+2B06>","up arrow"
"<U+2197>","up-right arrow"
"<U+27A1>","right arrow"
"<U+2198>","down-right arrow"
"<U+2B07>","down arrow"
"<U+2199>","down-left arrow"
"<U+2B05>","left arrow"
"<U+2196>","up-left arrow"
"<U+2195>","up-down arrow"
"<U+2194>","left-right arrow"
"<U+21A9>","right arrow curving left"
"<U+21AA>","left arrow curving right"
"<U+2934>","right arrow curving up"
"<U+2935>","right arrow curving down"
"<U+0001F503>","clockwise vertical arrows"
"<U+0001F504>","counterclockwise arrows button"
"<U+0001F519>","BACK arrow"
"<U+0001F51A>","END arrow"
"<U+0001F51B>","ON! arrow"
"<U+0001F51C>","SOON arrow"
"<U+0001F51D>","TOP arrow"
"<U+0001F6D0>","place of worship"
"<U+269B>","atom symbol"
"<U+0001F549>","om"
"<U+2721>","star of David"
"<U+2638>","wheel of dharma"
"<U+262F>","yin yang"
"<U+271D>","latin cross"
"<U+2626>","orthodox cross"
"<U+262A>","star and crescent"
"<U+262E>","peace symbol"
"<U+0001F54E>","menorah"
"<U+0001F52F>","dotted six-pointed star"
"<U+2648>","Aries"
"<U+2649>","Taurus"
"<U+264A>","Gemini"
"<U+264B>","Cancer"
"<U+264C>","Leo"
"<U+264D>","Virgo"
"<U+264E>","Libra"
"<U+264F>","Scorpius"
"<U+2650>","Sagittarius"
"<U+2651>","Capricorn"
"<U+2652>","Aquarius"
"<U+2653>","Pisces"
"<U+26CE>","Ophiuchus"
"<U+0001F500>","shuffle tracks button"
"<U+0001F501>","repeat button"
"<U+0001F502>","repeat single button"
"<U+25B6>","play button"
"<U+23E9>","fast-forward button"
"<U+23ED>","next track button"
"<U+23EF>","play or pause button"
"<U+25C0>","reverse button"
"<U+23EA>","fast reverse button"
"<U+23EE>","last track button"
"<U+0001F53C>","up button"
"<U+23EB>","fast up button"
"<U+0001F53D>","down button"
"<U+23EC>","fast down button"
"<U+23F8>","pause button"
"<U+23F9>","stop button"
"<U+23FA>","record button"
"<U+23CF>","eject button"
"<U+0001F3A6>","cinema"
"<U+0001F505>","dim button"
"<U+0001F506>","bright button"
"<U+0001F4F6>","antenna bars"
"<U+0001F4F3>","vibration mode"
"<U+0001F4F4>","mobile phone off"
"Š","female sign"
"‰","male sign"
"<U+2695>","medical symbol"
"<U+267B>","recycling symbol"
"<U+269C>","fleur-de-lis"
"<U+0001F531>","trident emblem"
"<U+0001F4DB>","name badge"
"<U+0001F530>","Japanese symbol for beginner"
"<U+2B55>","heavy large circle"
"<U+2705>","white heavy check mark"
"<U+2611>","ballot box with check"
"<U+2714>","heavy check mark"
"<U+2716>","heavy multiplication x"
"<U+274C>","cross mark"
"<U+274E>","cross mark button"
"<U+2795>","heavy plus sign"
"<U+2796>","heavy minus sign"
"<U+2797>","heavy division sign"
"<U+27B0>","curly loop"
"<U+27BF>","double curly loop"
"<U+303D>","part alternation mark"
"<U+2733>","eight-spoked asterisk"
"<U+2734>","eight-pointed star"
"<U+2747>","sparkle"
"<U+203C>","double exclamation mark"
"<U+2049>","exclamation question mark"
"<U+2753>","question mark"
"<U+2754>","white question mark"
"<U+2755>","white exclamation mark"
"<U+2757>","exclamation mark"
"<U+3030>","wavy dash"
"c","copyright"
"R","registered"
"<U+2122>","trade mark"
"#<U+FE0F><U+20E3>","# keycap"
"*<U+FE0F><U+20E3>","* keycap"
"0<U+FE0F><U+20E3>","0 keycap"
"1<U+FE0F><U+20E3>","1 keycap"
"2<U+FE0F><U+20E3>","2 keycap"
"3<U+FE0F><U+20E3>","3 keycap"
"4<U+FE0F><U+20E3>","4 keycap"
"5<U+FE0F><U+20E3>","5 keycap"
"6<U+FE0F><U+20E3>","6 keycap"
"7<U+FE0F><U+20E3>","7 keycap"
"8<U+FE0F><U+20E3>","8 keycap"
"9<U+FE0F><U+20E3>","9 keycap"
"<U+0001F51F>","keycap 10"
"<U+0001F4AF>","hundred points"
"<U+0001F520>","input latin uppercase"
"<U+0001F521>","input latin lowercase"
"<U+0001F522>","input numbers"
"<U+0001F523>","input symbols"
"<U+0001F524>","input latin letters"
"<U+0001F170>","A button (blood type)"
"<U+0001F18E>","AB button (blood type)"
"<U+0001F171>","B button (blood type)"
"<U+0001F191>","CL button"
"<U+0001F192>","COOL button"
"<U+0001F193>","FREE button"
"<U+2139>","information"
"<U+0001F194>","ID button"
"<U+24C2>","circled M"
"<U+0001F195>","NEW button"
"<U+0001F196>","NG button"
"<U+0001F17E>","O button (blood type)"
"<U+0001F197>","OK button"
"<U+0001F17F>","P button"
"<U+0001F198>","SOS button"
"<U+0001F199>","UP! button"
"<U+0001F19A>","VS button"
"<U+0001F201>","Japanese ghereh button"
"<U+0001F202>","Japanese gservice chargeh button"
"<U+0001F237>","Japanese gmonthly amounth button"
"<U+0001F236>","Japanese gnot free of chargeh button"
"<U+0001F22F>","Japanese greservedh button"
"<U+0001F250>","Japanese gbargainh button"
"<U+0001F239>","Japanese gdiscounth button"
"<U+0001F21A>","Japanese gfree of chargeh button"
"<U+0001F232>","Japanese gprohibitedh button"
"<U+0001F251>","Japanese gacceptableh button"
"<U+0001F238>","Japanese gapplicationh button"
"<U+0001F234>","Japanese gpassing gradeh button"
"<U+0001F233>","Japanese gvacancyh button"
"<U+3297>","Japanese gcongratulationsh button"
"<U+3299>","Japanese gsecreth button"
"<U+0001F23A>","Japanese gopen for businessh button"
"<U+0001F235>","Japanese gno vacancyh button"
"<U+25AA>","black small square"
"<U+25AB>","white small square"
"<U+25FB>","white medium square"
"<U+25FC>","black medium square"
"<U+25FD>","white medium-small square"
"<U+25FE>","black medium-small square"
"<U+2B1B>","black large square"
"<U+2B1C>","white large square"
"<U+0001F536>","large orange diamond"
"<U+0001F537>","large blue diamond"
"<U+0001F538>","small orange diamond"
"<U+0001F539>","small blue diamond"
"<U+0001F53A>","red triangle pointed up"
"<U+0001F53B>","red triangle pointed down"
"<U+0001F4A0>","diamond with a dot"
"<U+0001F518>","radio button"
"<U+0001F532>","black square button"
"<U+0001F533>","white square button"
"<U+26AA>","white circle"
"<U+26AB>","black circle"
"<U+0001F534>","red circle"
"<U+0001F535>","blue circle"
"<U+0001F3C1>","chequered flag"
"<U+0001F6A9>","triangular flag"
"<U+0001F38C>","crossed flags"
"<U+0001F3F4>","black flag"
"<U+0001F3F3>","white flag"
"<U+0001F3F3><U+FE0F><U+200D><U+0001F308>","rainbow flag"
"<U+0001F1E6><U+0001F1E8>","Ascension Island"
"<U+0001F1E6><U+0001F1E9>","Andorra"
"<U+0001F1E6><U+0001F1EA>","United Arab Emirates"
"<U+0001F1E6><U+0001F1EB>","Afghanistan"
"<U+0001F1E6><U+0001F1EC>","Antigua & Barbuda"
"<U+0001F1E6><U+0001F1EE>","Anguilla"
"<U+0001F1E6><U+0001F1F1>","Albania"
"<U+0001F1E6><U+0001F1F2>","Armenia"
"<U+0001F1E6><U+0001F1F4>","Angola"
"<U+0001F1E6><U+0001F1F6>","Antarctica"
"<U+0001F1E6><U+0001F1F7>","Argentina"
"<U+0001F1E6><U+0001F1F8>","American Samoa"
"<U+0001F1E6><U+0001F1F9>","Austria"
"<U+0001F1E6><U+0001F1FA>","Australia"
"<U+0001F1E6><U+0001F1FC>","Aruba"
"<U+0001F1E6><U+0001F1FD>","Aland Islands"
"<U+0001F1E6><U+0001F1FF>","Azerbaijan"
"<U+0001F1E7><U+0001F1E6>","Bosnia & Herzegovina"
"<U+0001F1E7><U+0001F1E7>","Barbados"
"<U+0001F1E7><U+0001F1E9>","Bangladesh"
"<U+0001F1E7><U+0001F1EA>","Belgium"
"<U+0001F1E7><U+0001F1EB>","Burkina Faso"
"<U+0001F1E7><U+0001F1EC>","Bulgaria"
"<U+0001F1E7><U+0001F1ED>","Bahrain"
"<U+0001F1E7><U+0001F1EE>","Burundi"
"<U+0001F1E7><U+0001F1EF>","Benin"
"<U+0001F1E7><U+0001F1F1>","St. Barthelemy"
"<U+0001F1E7><U+0001F1F2>","Bermuda"
"<U+0001F1E7><U+0001F1F3>","Brunei"
"<U+0001F1E7><U+0001F1F4>","Bolivia"
"<U+0001F1E7><U+0001F1F6>","Caribbean Netherlands"
"<U+0001F1E7><U+0001F1F7>","Brazil"
"<U+0001F1E7><U+0001F1F8>","Bahamas"
"<U+0001F1E7><U+0001F1F9>","Bhutan"
"<U+0001F1E7><U+0001F1FB>","Bouvet Island"
"<U+0001F1E7><U+0001F1FC>","Botswana"
"<U+0001F1E7><U+0001F1FE>","Belarus"
"<U+0001F1E7><U+0001F1FF>","Belize"
"<U+0001F1E8><U+0001F1E6>","Canada"
"<U+0001F1E8><U+0001F1E8>","Cocos (Keeling) Islands"
"<U+0001F1E8><U+0001F1E9>","Congo - Kinshasa"
"<U+0001F1E8><U+0001F1EB>","Central African Republic"
"<U+0001F1E8><U+0001F1EC>","Congo - Brazzaville"
"<U+0001F1E8><U+0001F1ED>","Switzerland"
"<U+0001F1E8><U+0001F1EE>","Cote dfIvoire"
